formula,chemsys,ehull
Sc1Si5Sn1Tb9,Sc-Si-Sn-Tb,-0.005382000000000149
Cs8Mg2P4S16,Cs-Mg-P-S,-0.10447900000000032
K1P6Pd21Tl1,K-P-Pd-Tl,-0.008098000000000608
Fe5I16Pb1,Fe-I-Pb,-0.15446300000000007
C12Cr3La6Mo1,C-Cr-La-Mo,-0.07338199999999928
Cs8Mo1Se16W3,Cs-Mo-Se-W,-0.08215200000000017
Bi1Co4Cu1Tm12,Bi-Co-Cu-Tm,-0.00359099999999963
Er1Ho1Nd8Pb6,Er-Ho-Nd-Pb,-0.005470999999999833
Os1Sc12Si15Sm1Y7,Os-Sc-Si-Sm-Y,-0.009911000000000295
Ga4Pd7Pr4Pt1,Ga-Pd-Pr-Pt,-0.008168999999999874
Al1Fe1Os2Tb2,Al-Fe-Os-Tb,-0.06155900000000011
Cs8Mo6N16Zn2,Cs-Mo-N-Zn,-0.0004890000000001803
Al2Au2In1Pd1Th3,Al-Au-In-Pd-Th,-0.02879899999999986
Ac6Bi1Cd18Mg5,Ac-Bi-Cd-Mg,-0.050104000000000114
