formula,chemsys,ehull
Ga8 Pt4 O20,Ga-Pt-O,0.016142635937499428
Ga8 Ru4 O20,Ga-Ru-O,0.047393920312497784
Zr4 Ga8 O20,Ga-Zr-O,0.050873892187500935
Hf4 Hg4 O12,Hf-Hg-O,0.03962582299999884
Hf4 Ir4 O16,Hf-Ir-O,0.06556618708333417
Na4 Hf2 O6,Hf-Na-O,-0.24896865666666468
Hf4 Os4 O16,Hf-Os-O,0.046781347499999626
Hf4 Pd4 O12,Hf-Pd-O,0.131124683999996
Hf2 Pt2 O8,Hf-Pt-O,0.01431881458333173
Hf4 Rh4 O16,Hf-Rh-O,0.061625657500000486
Hf4 Rh8 O20,Hf-Rh-O,0.07984729812499936
Hf4 Ru4 O16,Hf-Ru-O,0.07624895291666611
In4 Hg2 O8,Hg-In-O,0.00671041464285782
Hg4 Ir4 O12,Hg-Ir-O,0.06136251299999973
Mg1 Hg1 O2,Hg-Mg-O,0.003094976875000377
Hg2 Pd2 O4,Hg-Pd-O,0.00047193562500069675
Hg4 Pd4 O12,Hg-Pd-O,-0.02876790000000007
Hg4 Rh8 O16,Hg-Rh-O,0.0622972828571422
Sc8 Hg4 O16,Hg-Sc-O,-0.005196565178569479
Tl8 Hg4 O8,Hg-Tl-O,-0.0188141488333331
Tl6 Hg3 O12,Hg-Tl-O,0.05440688226190549
Y8 Hg4 O16,Hg-Y-O,-0.0019636469642838605
Zn2 Hg2 O4,Hg-Zn-O,0.07991550312499962
Zr4 Hg4 O12,Hg-Zr-O,0.03401541750000092
In4 Os4 O16,In-Os-O,0.01890923895833385
In4 Ir2 O10,In-Ir-O,0.11256820749999807
In8 Os4 O20,In-Os-O,0.0790213806249982
In8 Ru4 O20,In-Ru-O,0.0899937012499974
Mg4 Ir4 O12,Ir-Mg-O,0.09730780349999524
Mo4 Ir4 O16,Ir-Mo-O,0.1835049037499985
Ir1 Os1 O4,Ir-Os-O,-0.02542135583333316
Ir4 Pt4 O16,Ir-Pt-O,-0.0008965674999998896
Re8 Ir4 O36,Ir-Re-O,0.037241918229133475
Ir4 Rh4 O16,Ir-Rh-O,-0.015778086666668578
Ir2 Rh4 O10,Ir-Rh-O,0.09599868156249869
Sc8 Ir4 O20,Ir-Sc-O,0.11497018078124732
Sn4 Ir4 O16,Ir-Sn-O,0.02799670041666591
Ta8 Ir4 O28,Ir-Ta-O,0.1079620672499999
Ti4 Ir4 O16,Ir-Ti-O,0.0563751620833326
Ir4 W4 O20,Ir-W-O,0.11078402160714163
Zn4 Ir4 O12,Ir-Zn-O,0.06948866399999609
Re4 Ir8 O24,Ir-Re-O,0.1337356052777725
Ir8 W4 O24,Ir-W-O,0.168541836527778
K8 Sr4 O8,K-Sr-O,0.04089495450000058
La8 Mg4 O16,La-Mg-O,0.0706389451785725
Sr4 Li8 O8,Li-Sr-O,0.04377483249999958
Mg2 Os2 O6,Mg-Os-O,0.058208554999995776
Mg4 Pb4 O8,Mg-Pb-O,0.054850112890624914
Mg4 Pb4 O12,Mg-Pb-O,-0.025987485499999963
Mg4 Pd4 O8,Mg-Pd-O,0.08967064812499981
Mg4 Pd4 O12,Mg-Pd-O,-0.06317366699999916
Rb4 Mg2 O4,Mg-Rb-O,-0.0011926195000002693
Mg4 Ru4 O12,Mg-Ru-O,0.06123097799999577
Mg4 Tl8 O16,Mg-Tl-O,0.01665284035714354
Mo4 Os4 O16,Mo-Os-O,0.094633785416665
Mo4 Pd4 O12,Mo-Pd-O,0.1687218822500034
Mo4 Pd4 O16,Mo-Pd-O,0.06034863062499962
Mo4 Pt4 O16,Mo-Pt-O,0.05434934854166418
Mo20 Pt4 O32,Mo-Pt-O,0.6348006253571423
Na8 Sr4 O8,Na-Sr-O,0.018665931000000135
Nb4 Ru4 O16,Nb-Ru-O,0.03130972211309846
Nb8 Os4 O28,Nb-Os-O,0.03865355728571451
Nb8 Pd4 O24,Nb-Pd-O,0.05284774531746095
Nb8 Ru4 O28,Nb-Ru-O,0.0741659715357148
Os4 Pd4 O12,Os-Pd-O,0.07153114099999947
Os4 Pd4 O16,Os-Pd-O,0.08136896041666386
Os4 Pt4 O16,Os-Pt-O,0.09079466749999732
Re8 Os4 O36,Os-Re-O,-0.023609073749996767
Os4 Rh4 O16,Os-Rh-O,-0.09801547083333251
Os4 Rh8 O20,Os-Rh-O,0.009695831874998895
Os4 Ru4 O16,Os-Ru-O,-0.020692140833332928
Sc8 Os4 O20,Os-Sc-O,0.05313534703124745
Ta8 Os4 O28,Os-Ta-O,0.06132181174999829
Ti6 Os6 O24,Os-Ti-O,0.05278567083333208
Os4 W4 O20,Os-W-O,0.09370192910713904
Zr4 Os4 O16,Os-Zr-O,0.05567102999999918
Re4 Os8 O24,Os-Re-O,0.13319537444444052
Os8 W4 O24,Os-W-O,0.17788325430555574
Sc4 Pb2 O8,Pb-Sc-O,0.08132773611607291
Pd4 Pt4 O12,Pd-Pt-O,0.04837403149999897
Pd4 Pt4 O16,Pd-Pt-O,-0.051032307916666575
Re4 Pd4 O12,Pd-Re-O,0.2855063280000003
Re8 Pd4 O32,Pd-Re-O,-0.017098132159086177
Pd2 Ru2 O6,Pd-Ru-O,0.0899812829999993
Pd4 Ru4 O16,Pd-Ru-O,-0.01716994802083427
Sn4 Pd4 O12,Pd-Sn-O,0.12025522849999692
Ta8 Pd4 O24,Pd-Ta-O,0.05595935333333202
