formula,chemsys,ehull
In3 Os3 O12,In-Os-O,0.07773035479166701
In2 Os2 O8,In-Os-O,0.08249401812499979
Ir4 Rh4 O16,Ir-Rh-O,-0.011872433333334875
Ir3 Rh3 O12,Ir-Rh-O,-0.01036541666666757
Ir4 W4 O20,Ir-W-O,0.15880375589285656
Ir4 W4 O20,Ir-W-O,0.15952110696428434
Ir4 W4 O20,Ir-W-O,0.18580032232142685
Ir3 W3 O15,Ir-W-O,0.19935901374999965
K4 Ca2 O4,Ca-K-O,0.033831323000000246
K4 Ca2 O4,Ca-K-O,0.033912826000000784
K8 Ca4 O8,Ca-K-O,0.038605203000001254
K8 Ca4 O8,Ca-K-O,0.04280427550000088
K8 Ca4 O8,Ca-K-O,0.0534306425000004
K8 Sr4 O8,K-Sr-O,0.05201011649999998
K6 Sr3 O6,K-Sr-O,0.06601806133333454
K4 Sr2 O4,K-Sr-O,0.06756659700000078
K8 Sr4 O8,K-Sr-O,0.05818893100000011
K8 Sr4 O8,K-Sr-O,0.06359426000000035
Mg4 Au8 O16,Au-Mg-O,-0.05508177821428539
Mg4 Au8 O16,Au-Mg-O,-0.05634554392857094
Mg4 Au8 O16,Au-Mg-O,-0.013495366428570854
Mg2 Au4 O8,Au-Mg-O,0.011039686428572004
Mg4 Be4 O8,Be-Mg-O,0.07409964562500004
Mg4 Be4 O8,Be-Mg-O,0.08055374312499985
Mg3 Be3 O6,Be-Mg-O,0.08823835791666657
Mg4 Be4 O8,Be-Mg-O,0.09965655625000025
Mg4 Be4 O8,Be-Mg-O,0.09701820375000025
Mg4 Os4 O12,Mg-Os-O,0.13541235099999582
Mg2 Os2 O6,Mg-Os-O,0.1869052269999969
Mg4 Os4 O12,Mg-Os-O,0.10334988399999645
Mg4 Os4 O12,Mg-Os-O,0.13370522449999633
Mg4 Pd4 O12,Mg-Pd-O,-0.03071973650000004
Mg4 Pd4 O12,Mg-Pd-O,-0.005501562499999224
Mg4 Pd4 O12,Mg-Pd-O,-0.052314289499999944
Mg2 Tl4 O8,Mg-Tl-O,0.0304662914285716
Mg2 Tl4 O8,Mg-Tl-O,0.03535773642857265
